INFO 2025-12-15 23:50:09,303 log 9964 24140 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,314 log 9964 24140 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,324 log 9964 24140 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,351 log 9964 24140 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:16,212 log 9964 15712 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=VersionsPanel HTTP/1.1" 200 1276
INFO 2025-12-15 23:50:27,213 log 9964 15376 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=SettingsPanel HTTP/1.1" 200 35202
INFO 2025-12-15 23:50:29,020 log 9964 15376 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=HeadersPanel HTTP/1.1" 200 4949
INFO 2025-12-15 23:50:29,915 log 9964 15376 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=RequestPanel HTTP/1.1" 200 2076
INFO 2025-12-15 23:50:32,307 log 9964 15376 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=StaticFilesPanel HTTP/1.1" 200 58322
INFO 2025-12-15 23:50:34,812 log 9964 15376 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=TemplatesPanel HTTP/1.1" 200 56569
INFO 2025-12-15 23:50:36,191 log 9964 15376 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=AlertsPanel HTTP/1.1" 200 66
INFO 2025-12-15 23:50:37,927 log 9964 15376 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=CachePanel HTTP/1.1" 200 18696
INFO 2025-12-15 23:50:40,476 log 9964 4304 "GET /__debug__/render_panel/?store_id=7ad19f68b5ce4aeebaacabe14ea277ee&panel_id=SignalsPanel HTTP/1.1" 200 2465
INFO 2026-03-26 23:34:11,324 autoreload 19800 15548 Watching for file changes with StatReloader
INFO 2026-03-26 23:34:37,537 autoreload 11580 13652 Watching for file changes with StatReloader
INFO 2026-03-26 23:34:45,208 log 11580 20860 "GET / HTTP/1.1" 200 417
WARNING 2026-03-26 23:34:48,214 log 11580 20860 "GET /favicon.ico HTTP/1.1" 404 17739
INFO 2026-03-26 23:34:53,263 log 11580 20860 "GET /api/docs/ HTTP/1.1" 302 0
INFO 2026-03-26 23:34:53,380 log 11580 20860 "GET /api/docs/login/?next=/api/docs/ HTTP/1.1" 200 22055
INFO 2026-03-26 23:34:53,527 log 11580 20860 "GET /static/modern_drf_swagger/css/styles.css HTTP/1.1" 200 22561
INFO 2026-03-26 23:34:53,528 log 11580 14064 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 200 30101
INFO 2026-03-26 23:34:53,528 log 11580 21968 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 200 14879
INFO 2026-03-26 23:34:54,278 log 11580 21968 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 200 43
INFO 2026-03-26 23:34:54,308 log 11580 21968 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 200 4700
INFO 2026-03-26 23:35:08,529 log 11580 21968 "POST /api/docs/login/ HTTP/1.1" 302 0
INFO 2026-03-26 23:35:09,014 log 11580 20336 "GET /api/docs/ HTTP/1.1" 200 44318
INFO 2026-03-26 23:35:09,136 log 11580 21060 "GET /static/modern_drf_swagger/css/styles.css HTTP/1.1" 304 0
INFO 2026-03-26 23:35:09,137 log 11580 20336 "GET /static/modern_drf_swagger/js/global-auth.js HTTP/1.1" 200 15106
INFO 2026-03-26 23:35:09,138 log 11580 14100 "GET /static/modern_drf_swagger/js/request-editor.js HTTP/1.1" 200 78430
INFO 2026-03-26 23:35:09,143 log 11580 10092 "GET /static/modern_drf_swagger/js/endpoint-list.js HTTP/1.1" 200 12531
INFO 2026-03-26 23:35:09,144 log 11580 18556 "GET /static/modern_drf_swagger/js/code-generator.js HTTP/1.1" 200 11491
INFO 2026-03-26 23:35:09,146 log 11580 7156 "GET /static/modern_drf_swagger/js/response-viewer.js HTTP/1.1" 200 31621
INFO 2026-03-26 23:35:09,147 log 11580 20336 "GET /static/modern_drf_swagger/js/docs.js HTTP/1.1" 200 15017
INFO 2026-03-26 23:35:10,114 log 11580 20336 "GET /api/docs/schema/ HTTP/1.1" 200 3859
ERROR 2026-03-26 23:35:54,145 log 11580 20336 "GET /api/docs/analytics/ HTTP/1.1" 500 189234
INFO 2026-03-26 23:37:18,567 autoreload 780 14064 Watching for file changes with StatReloader
INFO 2026-03-26 23:37:20,198 log 780 18736 "GET /api/docs/analytics/ HTTP/1.1" 200 43494
INFO 2026-03-26 23:37:20,392 log 780 2472 "GET /static/modern_drf_swagger/js/global-auth.js HTTP/1.1" 304 0
INFO 2026-03-26 23:37:20,395 log 780 784 "GET /static/modern_drf_swagger/css/styles.css HTTP/1.1" 304 0
INFO 2026-03-26 23:37:20,395 log 780 18736 "GET /static/modern_drf_swagger/js/analytics.js HTTP/1.1" 200 6831
INFO 2026-03-26 23:37:21,976 log 780 18736 "GET /api/docs/analytics/?days=7&format=json HTTP/1.1" 200 173
INFO 2026-03-26 23:37:35,906 log 780 18736 "GET /api/docs/ HTTP/1.1" 200 44317
INFO 2026-03-26 23:37:36,017 log 780 18736 "GET /static/modern_drf_swagger/js/endpoint-list.js HTTP/1.1" 304 0
INFO 2026-03-26 23:37:36,031 log 780 2472 "GET /static/modern_drf_swagger/js/request-editor.js HTTP/1.1" 304 0
INFO 2026-03-26 23:37:36,032 log 780 18736 "GET /static/modern_drf_swagger/js/response-viewer.js HTTP/1.1" 304 0
INFO 2026-03-26 23:37:36,032 log 780 3004 "GET /static/modern_drf_swagger/js/docs.js HTTP/1.1" 304 0
INFO 2026-03-26 23:37:36,033 log 780 784 "GET /static/modern_drf_swagger/js/code-generator.js HTTP/1.1" 304 0
INFO 2026-03-26 23:37:36,693 log 780 784 "GET /api/docs/schema/ HTTP/1.1" 200 3859
INFO 2026-03-26 23:43:06,622 log 780 16436 "POST /api/docs/generate-code/ HTTP/1.1" 200 299
INFO 2026-03-26 23:43:07,056 log 780 16436 "GET /__debug__/history_sidebar/?request_id=6340091065ab46b9ad8ba920c61878f9 HTTP/1.1" 200 10141
INFO 2026-03-26 23:43:14,935 log 780 16436 "POST /api/docs/generate-code/ HTTP/1.1" 200 197
INFO 2026-03-26 23:43:15,162 log 780 16436 "GET /__debug__/history_sidebar/?request_id=ade20009c80e4e41b9681a4a72ddd96b HTTP/1.1" 200 10140
INFO 2026-03-26 23:43:15,845 log 780 16436 "POST /api/docs/generate-code/ HTTP/1.1" 200 136
INFO 2026-03-26 23:43:16,065 log 780 16436 "GET /__debug__/history_sidebar/?request_id=e9714b99fa79460687002cbe4d2c120c HTTP/1.1" 200 10140
INFO 2026-03-26 23:43:16,792 log 780 16436 "POST /api/docs/generate-code/ HTTP/1.1" 200 603
INFO 2026-03-26 23:43:16,815 log 780 1804 "POST /api/docs/generate-code/ HTTP/1.1" 200 603
